,State,Crop,Season,District ,Area ,Production,Yield,Profit,Rainfall
156,andhra pradesh,arhar/tur,rabi       ,chittoor,40.625,9.428571429,0.1875,nan,nan
157,andhra pradesh,arhar/tur,rabi       ,east godavari,146.7,81.7,0.517,nan,nan
158,andhra pradesh,arhar/tur,rabi       ,guntur,1057.789474,901.0,0.906315789,nan,nan
159,andhra pradesh,arhar/tur,rabi       ,kadapa,76.8125,24.1875,0.28875,nan,nan
160,andhra pradesh,arhar/tur,rabi       ,karimnagar,500.0,221.4444444,0.404444444,nan,nan
161,andhra pradesh,arhar/tur,rabi       ,khammam,770.25,369.0833333,0.484166667,nan,nan
162,andhra pradesh,arhar/tur,rabi       ,krishna,86.36363636,58.36363636,0.710909091,nan,nan
163,andhra pradesh,arhar/tur,rabi       ,kurnool,1155.789474,480.1578947,0.423157895,nan,nan
164,andhra pradesh,arhar/tur,rabi       ,mahbubnagar,126.5,37.75,0.355,nan,nan
165,andhra pradesh,arhar/tur,rabi       ,medak,154.6,42.0,0.442,nan,nan
166,andhra pradesh,arhar/tur,rabi       ,nalgonda,990.1111111,392.4444444,0.366666667,nan,nan
167,andhra pradesh,arhar/tur,rabi       ,nizamabad,140.375,105.8333333,0.41125,nan,nan
168,andhra pradesh,arhar/tur,rabi       ,prakasam,376.125,170.625,0.491875,nan,nan
169,andhra pradesh,arhar/tur,rabi       ,rangareddi,117.0,46.75,0.315,nan,nan
170,andhra pradesh,arhar/tur,rabi       ,spsr nellore,297.9444444,158.2777778,0.589444444,nan,nan
171,andhra pradesh,arhar/tur,rabi       ,srikakulam,16.57142857,9.714285714,0.557142857,nan,nan
172,andhra pradesh,arhar/tur,rabi       ,visakhapatanam,45.25,21.75,0.340833333,nan,nan
173,andhra pradesh,arhar/tur,rabi       ,vizianagaram,39.5,27.25,0.6825,nan,nan
174,andhra pradesh,arhar/tur,rabi       ,warangal,954.6666667,356.3333333,0.385833333,nan,nan
175,andhra pradesh,arhar/tur,rabi       ,west godavari,170.1333333,120.5333333,0.596,nan,nan
176,andhra pradesh,bajra,kharif     ,anantapur,1995.347826,1843.652174,0.929565217,nan,nan
177,andhra pradesh,bajra,kharif     ,chittoor,2246.521739,3930.608696,1.773913043,nan,nan
178,andhra pradesh,bajra,kharif     ,east godavari,1223.863636,870.9090909,0.850454545,nan,nan
179,andhra pradesh,bajra,kharif     ,guntur,1824.15,2206.45,1.286,nan,nan
180,andhra pradesh,bajra,kharif     ,kadapa,2765.26087,4600.869565,1.784782609,nan,nan
181,andhra pradesh,bajra,kharif     ,khammam,241.2142857,125.5714286,0.535,nan,nan
182,andhra pradesh,bajra,kharif     ,krishna,4.0,5.666666667,1.466666667,nan,nan
183,andhra pradesh,bajra,kharif     ,kurnool,10123.08696,10745.69565,1.11,nan,nan
184,andhra pradesh,bajra,kharif     ,mahbubnagar,9642.0625,5217.75,0.571875,nan,nan
185,andhra pradesh,bajra,kharif     ,medak,817.6,451.1333333,0.554666667,nan,nan
186,andhra pradesh,bajra,kharif     ,nalgonda,9585.4375,4864.8125,0.541875,nan,nan
187,andhra pradesh,bajra,kharif     ,nizamabad,14.5,9.0,0.6825,nan,nan
188,andhra pradesh,bajra,kharif     ,prakasam,15132.08696,24720.3913,1.607826087,nan,nan
189,andhra pradesh,bajra,kharif     ,rangareddi,696.7142857,355.3571429,0.523571429,nan,nan
190,andhra pradesh,bajra,kharif     ,spsr nellore,1167.73913,2604.173913,2.310434783,nan,nan
191,andhra pradesh,bajra,kharif     ,srikakulam,2166.0,3066.695652,1.727826087,nan,nan
192,andhra pradesh,bajra,kharif     ,visakhapatanam,8789.73913,8119.913043,0.94,nan,nan
193,andhra pradesh,bajra,kharif     ,vizianagaram,1527.090909,1597.818182,1.053181818,nan,nan
194,andhra pradesh,bajra,kharif     ,warangal,111.6363636,56.81818182,0.538181818,nan,nan
195,andhra pradesh,bajra,kharif     ,west godavari,60.0,73.66666667,1.216666667,nan,nan
196,andhra pradesh,bajra,rabi       ,adilabad,869.5714286,498.2142857,0.559285714,nan,nan
197,andhra pradesh,bajra,rabi       ,anantapur,70.05263158,50.42105263,0.886315789,nan,nan
198,andhra pradesh,bajra,rabi       ,chittoor,58.41176471,72.76470588,1.683529412,nan,nan
199,andhra pradesh,bajra,rabi       ,east godavari,9.0,5.4,0.692,nan,nan
200,andhra pradesh,bajra,rabi       ,guntur,66.58333333,83.66666667,1.224166667,nan,nan
201,andhra pradesh,bajra,rabi       ,kadapa,1796.090909,3312.909091,1.779090909,nan,nan
202,andhra pradesh,bajra,rabi       ,karimnagar,684.0714286,432.6428571,0.570714286,nan,nan
203,andhra pradesh,bajra,rabi       ,khammam,40.57142857,22.28571429,0.615714286,nan,nan
204,andhra pradesh,bajra,rabi       ,krishna,2.0,2.0,1.0,nan,nan
205,andhra pradesh,bajra,rabi       ,kurnool,461.0,513.6666667,1.116190476,nan,nan
206,andhra pradesh,bajra,rabi       ,mahbubnagar,111.375,66.875,0.63375,nan,nan
207,andhra pradesh,bajra,rabi       ,medak,5.5,3.0,0.53,nan,nan
